Date,pm25_daily_mean,pm25_daily_mean_interpolated,was_interpolated,high_pm25_day,year,month,season,temperature_2m_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,cloud_cover_mean,wind_gusts_10m_max,et0_fao_evapotranspiration,wind_direction_sin,wind_direction_cos
2021-01-01,22.05779166666667,22.05779166666667,False,1,2021,1,Winter,0.4,93.0,-0.5,0.9,6.1,299.0,1012.8,1.86,69.0,18.0,0.17,-0.8746197071393956,0.4848096202463373
2021-01-02,12.609041666666668,12.609041666666668,False,0,2021,1,Winter,-0.1,91.0,-1.4,1.5,4.7,337.0,1017.5,2.5,51.0,18.4,0.2,-0.3907311284892739,0.9205048534524403
2021-01-03,4.052666666666666,4.052666666666666,False,0,2021,1,Winter,3.0,88.0,1.2,0.0,13.8,33.0,1021.2,1.99,68.0,33.8,0.28,0.5446390350150271,0.838670567945424
2021-01-04,4.946958333333334,4.946958333333334,False,0,2021,1,Winter,2.7,85.0,0.3,0.0,14.7,33.0,1025.4,1.83,63.0,33.8,0.36,0.5446390350150271,0.838670567945424
2021-01-05,7.1542916666666665,7.1542916666666665,False,0,2021,1,Winter,2.5,82.0,-0.4,0.0,13.2,23.0,1025.5,3.2,59.0,32.4,0.45,0.39073112848927377,0.9205048534524404
2021-01-06,15.808791666666666,15.808791666666666,False,1,2021,1,Winter,0.9,89.0,-0.8,0.0,8.0,18.0,1023.2,3.09,28.0,20.2,0.26,0.3090169943749474,0.9510565162951535
2021-01-07,26.028041666666667,26.028041666666667,False,1,2021,1,Winter,-1.7,95.0,-2.3,0.7,3.6,132.0,1018.7,0.86,87.0,11.9,0.12,0.7431448254773942,-0.6691306063588582
2021-01-08,8.943708333333333,8.943708333333333,False,0,2021,1,Winter,1.3,92.0,0.1,5.0,10.4,30.0,1019.1,1.21,94.0,36.0,0.21,0.49999999999999994,0.8660254037844387
2021-01-09,16.335583333333332,16.335583333333332,False,1,2021,1,Winter,0.2,93.0,-0.8,0.0,6.0,197.0,1026.3,1.78,61.0,19.8,0.16,-0.29237170472273677,-0.9563047559630354
2021-01-10,8.910333333333334,8.910333333333334,False,0,2021,1,Winter,3.4,93.0,2.3,0.2,11.4,220.0,1024.1,0.69,100.0,28.1,0.16,-0.6427876096865393,-0.766044443118978
2021-01-11,3.0247083333333333,3.0247083333333333,False,0,2021,1,Winter,6.8,89.0,5.0,11.2,21.8,246.0,1013.7,0.44,100.0,49.3,0.39,-0.913545457642601,-0.4067366430758001
2021-01-12,8.422791666666667,8.422791666666667,False,0,2021,1,Winter,4.3,86.0,2.1,7.2,9.4,305.0,1013.7,3.84,79.0,35.6,0.38,-0.8191520442889918,0.573576436351046
2021-01-13,14.854708333333333,14.854708333333333,False,0,2021,1,Winter,2.5,92.0,1.4,7.5,4.1,90.0,1017.7,0.37,100.0,12.2,0.15,1.0,6.123233995736766e-17
2021-01-14,4.060583333333333,4.060583333333333,False,0,2021,1,Winter,2.9,91.0,1.6,18.9,12.5,83.0,1017.8,0.58,97.0,40.3,0.2,0.992546151641322,0.12186934340514749
2021-01-15,16.8005,16.8005,False,1,2021,1,Winter,-0.4,92.0,-1.5,0.0,7.3,142.0,1029.3,3.27,63.0,28.1,0.25,0.6156614753256584,-0.7880107536067219
2021-01-16,8.790208333333334,8.790208333333334,False,0,2021,1,Winter,5.2,87.0,3.2,9.0,22.4,218.0,1016.3,1.17,91.0,58.0,0.46,-0.6156614753256582,-0.788010753606722
2021-01-17,7.364375,7.364375,False,0,2021,1,Winter,5.4,86.0,3.3,2.2,17.2,280.0,1022.0,2.29,83.0,42.1,0.46,-0.9848077530122081,0.17364817766692997
2021-01-18,5.238833333333333,5.238833333333333,False,0,2021,1,Winter,5.8,87.0,3.8,3.2,16.3,222.0,1017.4,1.65,94.0,33.5,0.4,-0.6691306063588582,-0.7431448254773942
2021-01-19,2.7525,2.7525,False,0,2021,1,Winter,8.9,91.0,7.5,22.3,19.2,208.0,997.8,0.85,100.0,69.5,0.4,-0.46947156278589086,-0.8829475928589269
2021-01-20,1.9064583333333334,1.9064583333333334,False,0,2021,1,Winter,8.9,92.0,7.7,38.9,21.0,204.0,980.3,0.4,100.0,71.6,0.36,-0.4067366430758002,-0.9135454576426009
2021-01-21,3.5071666666666665,3.5071666666666665,False,0,2021,1,Winter,3.6,86.0,1.5,6.5,23.7,251.0,979.2,1.6,72.0,65.2,0.48,-0.9455185755993168,-0.32556815445715664
2021-01-22,6.692291666666667,6.692291666666667,False,0,2021,1,Winter,3.2,86.0,1.0,0.7,13.9,252.0,989.4,2.85,67.0,39.6,0.43,-0.9510565162951535,-0.30901699437494756
2021-01-23,9.239458333333333,9.239458333333333,False,0,2021,1,Winter,1.4,94.0,0.6,2.3,8.4,247.0,994.5,2.33,81.0,25.9,0.22,-0.9205048534524403,-0.3907311284892738
2021-01-24,11.699125,11.699125,False,0,2021,1,Winter,-0.4,89.0,-2.1,0.5,9.2,60.0,997.7,1.56,86.0,31.0,0.28,0.8660254037844386,0.5000000000000001
2021-01-25,10.739041666666667,10.739041666666667,False,0,2021,1,Winter,0.9,86.0,-1.3,0.5,11.0,265.0,1008.5,4.08,35.0,43.6,0.43,-0.9961946980917455,-0.08715574274765825
2021-01-26,7.901958333333333,7.901958333333333,False,0,2021,1,Winter,2.0,90.0,0.6,3.2,9.9,162.0,1012.5,1.33,96.0,29.9,0.24,0.3090169943749475,-0.9510565162951535
2021-01-27,17.551041666666666,17.551041666666666,False,1,2021,1,Winter,7.1,96.0,6.6,1.0,8.9,243.0,1009.7,1.27,100.0,23.8,0.21,-0.8910065241883678,-0.4539904997395469
2021-01-28,6.010291666666667,6.010291666666667,False,0,2021,1,Winter,7.8,92.0,6.5,21.8,12.2,132.0,999.3,0.9,100.0,51.5,0.25,0.7431448254773942,-0.6691306063588582
2021-01-29,7.191458333333333,7.191458333333333,False,0,2021,1,Winter,7.5,92.0,6.2,2.2,15.0,272.0,996.1,1.97,86.0,45.0,0.31,-0.9993908270190958,0.03489949670250128
2021-01-30,4.36425,4.36425,False,0,2021,1,Winter,3.5,74.0,-0.7,0.5,25.8,76.0,1000.9,1.62,86.0,64.4,0.96,0.9702957262759965,0.24192189559966767
2021-01-31,4.883083333333333,4.883083333333333,False,0,2021,1,Winter,1.1,76.0,-2.8,0.0,14.1,79.0,1000.7,2.67,90.0,35.3,0.61,0.981627183447664,0.19080899537654492
2021-02-01,8.257739130434782,8.257739130434782,False,0,2021,2,Winter,2.0,79.0,-1.4,0.0,8.2,77.0,997.5,5.51,52.0,25.9,0.61,0.9743700647852352,0.22495105434386492
2021-02-02,6.447541666666667,6.447541666666667,False,0,2021,2,Winter,4.0,90.0,2.5,24.2,18.7,97.0,991.8,1.43,98.0,55.8,0.35,0.9925461516413221,-0.12186934340514737
2021-02-03,5.639833333333333,5.639833333333333,False,0,2021,2,Winter,6.6,93.0,5.6,6.0,7.6,185.0,993.5,3.22,81.0,29.9,0.39,-0.08715574274765794,-0.9961946980917455
