Data supplied by UK-AIR on 22/3/2023
All Data GMT hour ending  
Rows begining ## are Provisional
Manchester Piccadilly PM<sub>2.5</sub> particulate matter (Hourly measured) ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2022,21.793, 8.962, 6.580, 5.802, 7.217, 8.491, 8.255, 8.679, 8.561, 8.703, 9.882,11.392,13.160,13.703,13.278,14.717,14.269,12.759,13.160,12.170,11.651,10.448, 9.198, 9.316
02-01-2022, 8.915, 8.208, 8.538, 8.915, 8.184, 5.613, 4.528, 3.939, 3.797, 3.208, 3.915, 5.472, 6.132, 7.146, 5.896, 5.826, 5.000, 5.189, 7.052, 8.656, 8.844, 8.892, 9.363, 9.481
03-01-2022, 8.326, 8.679, 9.080, 9.646, 9.363, 9.316, 8.491, 7.759, 7.146, 6.368, 6.627, 7.689, 9.646,10.189, 8.679,10.566, 9.175, 9.717, 9.882, 9.175, 9.127, 9.245, 8.042, 7.193
04-01-2022, 6.368, 2.146, 0.873, 0.448, 0.542, 1.061, 1.816, 2.241, 3.443, 3.986, 5.401, 6.887, 8.632, 8.703, 9.764,10.448, 9.033, 9.340, 7.995, 7.453, 8.538, 7.217, 6.769, 7.406
05-01-2022, 7.217, 7.665, 6.203, 5.967, 7.146, 6.439, 6.509, 6.627, 6.604, 7.123, 6.226, 7.146, 8.326, 7.925, 7.099, 8.726, 9.929,10.024,12.076,13.632,14.670,19.764,21.651,19.859
06-01-2022,18.774,15.307,11.132, 8.137, 7.571, 7.476, 5.943, 6.769, 6.769, 6.557, 6.085, 4.670, 4.623, 3.821, 4.387, 4.127, 4.410, 4.292, 3.986, 4.245, 6.981, 5.802, 6.297, 5.047
07-01-2022, 3.609, 3.349, 3.467, 3.514, 3.066, 2.948, 3.113, 2.500, 3.632, 4.340, 6.557, 5.873, 7.429, 8.184, 5.495, 8.939, 8.491, 8.915, 7.359, 8.349, 9.387,10.849, 9.410, 7.524
08-01-2022, 7.052, 5.778, 5.024, 4.552, 3.491, 3.585, 4.387, 3.420, 3.137, 2.925, 2.241, 9.646,12.429,15.802,16.274,16.179,13.373,11.863, 8.302,11.038, 8.278, 7.288, 6.958, 6.863
09-01-2022, 7.052, 7.689, 7.807, 7.288, 6.557, 5.755, 6.014, 3.892, 5.236, 5.142, 6.109, 6.580, 8.326,10.212,10.448,11.698, 9.882, 9.528,10.307,11.014,11.793,12.547,10.165,10.165
10-01-2022, 9.057, 8.726, 8.255, 8.302, 8.609, 8.656, 8.797, 9.929,11.250,12.406, 9.458, 8.892, 9.151, 9.104, 9.222, 9.033, 7.995, 9.293,10.283,11.109,10.212, 9.410,10.024, 9.953
11-01-2022, 9.175, 8.632, 8.491, 6.557, 4.976, 6.226, 7.571, 9.481,12.311,13.113,14.057,14.198,15.637,17.028,14.410,14.623,16.274,15.778,17.571,20.330,24.410,24.033,26.250,26.769
12-01-2022,23.491,23.043,20.472,19.788,18.561,18.797,19.528,18.231,14.080,18.090,13.373,14.080,20.047,15.189,15.613,15.094,17.925,17.052,17.406,19.552,22.264,21.415,22.854,22.783
13-01-2022,19.599,23.585,24.104,21.958,22.052,19.434,12.429,16.038,14.528, 8.844,11.934,12.217,12.877,15.495,19.717,20.377,13.231,13.090,11.604,14.080,14.693,16.156,15.000,14.481
14-01-2022,15.000,16.816,17.288,16.958,17.005,16.274,10.849,13.373,14.788,16.934,17.547,18.585,18.160,22.123,22.028,20.000,17.736,21.604,27.028,34.835,35.684,34.788,43.302,36.911
15-01-2022,35.849,29.929,26.227,28.632,24.717,17.217,15.165,11.840,12.854,13.043,12.453,17.382,22.736,29.269,28.231,24.599,27.241,29.717,28.609,31.179,34.033,30.613,27.689,26.604
16-01-2022,23.491,21.934,17.594,14.599,13.514,10.543, 9.953, 9.340,11.533,14.127,14.623,14.340,15.165,10.637,11.392,13.585,11.132, 9.953,11.439,13.373,13.066,10.967,10.778, 8.726
17-01-2022, 7.193, 5.472, 4.316, 4.292, 4.693, 6.085, 8.774, 8.915,16.109,11.816,18.420,22.500,13.632,12.123,14.104,16.203,17.783,20.401,24.434,27.830,28.656,26.627,21.109,18.962
18-01-2022,18.326,15.849,18.750,19.646,17.524,17.170,17.712,16.462,19.953,21.722,20.920,16.344,17.760,15.731,14.104,14.293,16.698,20.401,20.165,20.472,20.778,20.826,18.538,15.519
19-01-2022,13.467,11.745,10.094, 9.222, 8.443, 7.877, 7.429, 7.453, 7.076, 7.877, 8.679, 9.269, 8.019, 9.741, 9.175, 8.278, 9.906, 8.750, 8.443, 7.665, 8.679, 6.981, 7.170, 7.901
20-01-2022, 6.958, 7.618, 8.137, 9.505,11.368,11.863,11.604, 7.925, 7.618, 7.689, 9.269,10.189, 8.892, 8.042, 7.476, 8.514,11.085,11.439,13.113,13.255,15.142,14.623,28.373,27.335
21-01-2022,28.019,22.736,19.293,17.288,16.863,14.269,13.821,15.755,18.278,17.123,16.439,19.552,12.665, 9.646, 6.226, 6.958, 6.344, 6.675, 7.193, 5.684, 7.052, 6.250, 7.028, 5.000
22-01-2022, 5.330, 5.991, 6.274, 4.316, 2.429, 2.476, 3.396, 4.599, 5.142, 5.731, 5.920, 6.981, 7.642, 8.208, 6.840, 7.193, 7.524, 9.033,11.863,12.005,11.439,10.377, 9.976, 8.585
23-01-2022, 8.396, 9.764,12.076, 9.788, 7.948, 6.533, 6.439, 6.557, 5.142, 6.226, 6.863, 5.755, 8.278, 6.887, 6.698, 6.863, 8.585, 8.278, 8.750, 8.278, 9.410, 8.750, 9.434,10.259
24-01-2022,11.863,11.415,10.684,11.486,15.755,21.392,28.609,27.995,28.231,29.977,29.316,29.646,29.198,31.014,29.293,22.854,24.646,26.439,27.925,30.283,33.019,34.363,35.826,39.411
25-01-2022,34.434,33.137,39.057,42.076,43.373,44.104,43.727,39.694,34.198,28.986,30.755,29.835,32.335,33.184,35.330,33.703,32.477,31.368,30.566,29.175,28.609,28.774,29.411,29.198
26-01-2022,28.609,29.599,28.703,23.821,17.948,14.458,13.090,14.033,14.057,14.009,14.481,15.755,12.642,11.344,10.826,10.613,10.967,11.344,12.264,13.231,12.288,10.425, 8.632, 6.745
27-01-2022, 3.561, 4.434, 1.816, 1.533, 4.175, 5.142, 5.425, 5.566, 4.976, 5.425, 5.802, 6.557, 7.335, 7.807, 7.948, 7.830, 6.887, 7.193, 8.467, 8.774, 8.939, 8.561, 8.939, 8.090
28-01-2022, 9.293,10.189,12.382,12.241,13.962,15.684,12.547, 8.774, 8.609, 8.844,12.547,12.736,15.165,12.288,12.076,11.014, 9.363, 7.783, 6.132, 8.042, 7.948, 6.604, 4.599, 4.882
29-01-2022, 4.080, 2.995, 2.500, 2.335, 1.958, 2.359, 3.679, 4.835, 5.920, 6.156, 5.330, 9.953,18.538,16.132,13.137,12.146,13.302,12.264,11.863,13.821,13.278,15.377,15.826,13.467
